ID,Imię,Nazwisko,Dział,Stanowisko,Wynagrodzenie,Premia,Waluta,Data wypłaty,Email,Telefon,Miasto,Kraj,Umowa,Staż lata,Godziny,Status,Ocena,Projekt,Opis
1,"Imię 1","Nazwisko 1",Logistyka,Pracownik,3600,150,PLN,2026-09-02,user1@example.com,+481001001,Warszawa,Polska,UoP,2,161,Aktywny,2,"Projekt 1","Rozliczenie miesiąca dla użytkownika 1"
2,"Imię 2","Nazwisko 2",Sprzedaż,Pracownik,3700,300,PLN,2026-09-03,user2@example.com,+481001002,Warszawa,Polska,UoP,3,162,Aktywny,3,"Projekt 2","Rozliczenie miesiąca dla użytkownika 2"
3,"Imię 3","Nazwisko 3",Logistyka,Specjalista,3800,450,PLN,2026-09-04,user3@example.com,+481001003,Warszawa,Polska,UoP,4,163,Aktywny,4,"Projekt 3","Rozliczenie miesiąca dla użytkownika 3"
4,"Imię 4","Nazwisko 4",Sprzedaż,Pracownik,3900,600,PLN,2026-09-05,user4@example.com,+481001004,Warszawa,Polska,UoP,5,164,Aktywny,5,"Projekt 4","Rozliczenie miesiąca dla użytkownika 4"
5,"Imię 5","Nazwisko 5",Logistyka,Pracownik,4000,750,PLN,2026-09-06,user5@example.com,+481001005,Warszawa,Polska,UoP,6,165,Aktywny,1,"Projekt 5","Rozliczenie miesiąca dla użytkownika 5"
6,"Imię 6","Nazwisko 6",Sprzedaż,Specjalista,4100,900,PLN,2026-09-07,user6@example.com,+481001006,Warszawa,Polska,UoP,7,166,Aktywny,2,"Projekt 6","Rozliczenie miesiąca dla użytkownika 6"
7,"Imię 7","Nazwisko 7",Logistyka,Pracownik,4200,0,PLN,2026-09-08,user7@example.com,+481001007,Warszawa,Polska,UoP,8,167,Aktywny,3,"Projekt 7","Rozliczenie miesiąca dla użytkownika 7"
8,"Imię 8","Nazwisko 8",Sprzedaż,Pracownik,4300,150,PLN,2026-09-09,user8@example.com,+481001008,Warszawa,Polska,UoP,9,168,Aktywny,4,"Projekt 8","Rozliczenie miesiąca dla użytkownika 8"
9,"Imię 9","Nazwisko 9",Logistyka,Specjalista,4400,300,PLN,2026-09-10,user9@example.com,+481001009,Warszawa,Polska,UoP,10,169,Aktywny,5,"Projekt 9","Rozliczenie miesiąca dla użytkownika 9"
10,"Imię 10","Nazwisko 10",Sprzedaż,Pracownik,4500,450,PLN,2026-09-11,user10@example.com,+4810010010,Warszawa,Polska,UoP,11,170,Aktywny,1,"Projekt 10","Rozliczenie miesiąca dla użytkownika 10"
11,"Imię 11","Nazwisko 11",Logistyka,Pracownik,4600,600,PLN,2026-09-12,user11@example.com,+4810010011,Warszawa,Polska,UoP,12,171,Aktywny,2,"Projekt 11","Rozliczenie miesiąca dla użytkownika 11"
12,"Imię 12","Nazwisko 12",Sprzedaż,Specjalista,4700,750,PLN,2026-09-13,user12@example.com,+4810010012,Warszawa,Polska,UoP,1,172,Aktywny,3,"Projekt 12","Rozliczenie miesiąca dla użytkownika 12"
13,"Imię 13","Nazwisko 13",Logistyka,Pracownik,4800,900,PLN,2026-09-14,user13@example.com,+4810010013,Warszawa,Polska,UoP,2,173,Aktywny,4,"Projekt 13","Rozliczenie miesiąca dla użytkownika 13"
14,"Imię 14","Nazwisko 14",Sprzedaż,Pracownik,4900,0,PLN,2026-09-15,user14@example.com,+4810010014,Warszawa,Polska,UoP,3,174,Aktywny,5,"Projekt 14","Rozliczenie miesiąca dla użytkownika 14"
15,"Imię 15","Nazwisko 15",Logistyka,Specjalista,5000,150,PLN,2026-09-16,user15@example.com,+4810010015,Warszawa,Polska,UoP,4,175,Aktywny,1,"Projekt 15","Rozliczenie miesiąca dla użytkownika 15"
16,"Imię 16","Nazwisko 16",Sprzedaż,Pracownik,5100,300,PLN,2026-09-17,user16@example.com,+4810010016,Warszawa,Polska,UoP,5,176,Aktywny,2,"Projekt 16","Rozliczenie miesiąca dla użytkownika 16"
17,"Imię 17","Nazwisko 17",Logistyka,Pracownik,5200,450,PLN,2026-09-18,user17@example.com,+4810010017,Warszawa,Polska,UoP,6,177,Aktywny,3,"Projekt 17","Rozliczenie miesiąca dla użytkownika 17"
18,"Imię 18","Nazwisko 18",Sprzedaż,Specjalista,5300,600,PLN,2026-09-19,user18@example.com,+4810010018,Warszawa,Polska,UoP,7,178,Aktywny,4,"Projekt 18","Rozliczenie miesiąca dla użytkownika 18"
19,"Imię 19","Nazwisko 19",Logistyka,Pracownik,5400,750,PLN,2026-09-20,user19@example.com,+4810010019,Warszawa,Polska,UoP,8,179,Aktywny,5,"Projekt 19","Rozliczenie miesiąca dla użytkownika 19"
20,"Imię 20","Nazwisko 20",Sprzedaż,Pracownik,5500,900,PLN,2026-09-21,user20@example.com,+4810010020,Warszawa,Polska,UoP,9,180,Aktywny,1,"Projekt 20","Rozliczenie miesiąca dla użytkownika 20"
21,"Imię 21","Nazwisko 21",Logistyka,Specjalista,5600,0,PLN,2026-09-22,user21@example.com,+4810010021,Warszawa,Polska,UoP,10,181,Aktywny,2,"Projekt 21","Rozliczenie miesiąca dla użytkownika 21"
22,"Imię 22","Nazwisko 22",Sprzedaż,Pracownik,5700,150,PLN,2026-09-23,user22@example.com,+4810010022,Warszawa,Polska,UoP,11,182,Aktywny,3,"Projekt 22","Rozliczenie miesiąca dla użytkownika 22"
23,"Imię 23","Nazwisko 23",Logistyka,Pracownik,5800,300,PLN,2026-09-24,user23@example.com,+4810010023,Warszawa,Polska,UoP,12,183,Aktywny,4,"Projekt 23","Rozliczenie miesiąca dla użytkownika 23"
24,"Imię 24","Nazwisko 24",Sprzedaż,Specjalista,5900,450,PLN,2026-09-25,user24@example.com,+4810010024,Warszawa,Polska,UoP,1,184,Aktywny,5,"Projekt 24","Rozliczenie miesiąca dla użytkownika 24"
25,"Imię 25","Nazwisko 25",Logistyka,Pracownik,3500,600,PLN,2026-09-26,user25@example.com,+4810010025,Warszawa,Polska,UoP,2,185,Aktywny,1,"Projekt 25","Rozliczenie miesiąca dla użytkownika 25"
26,"Imię 26","Nazwisko 26",Sprzedaż,Pracownik,3600,750,PLN,2026-09-27,user26@example.com,+4810010026,Warszawa,Polska,UoP,3,186,Aktywny,2,"Projekt 26","Rozliczenie miesiąca dla użytkownika 26"
27,"Imię 27","Nazwisko 27",Logistyka,Specjalista,3700,900,PLN,2026-09-28,user27@example.com,+4810010027,Warszawa,Polska,UoP,4,187,Aktywny,3,"Projekt 27","Rozliczenie miesiąca dla użytkownika 27"
28,"Imię 28","Nazwisko 28",Sprzedaż,Pracownik,3800,0,PLN,2026-09-01,user28@example.com,+4810010028,Warszawa,Polska,UoP,5,188,Aktywny,4,"Projekt 28","Rozliczenie miesiąca dla użytkownika 28"
29,"Imię 29","Nazwisko 29",Logistyka,Pracownik,3900,150,PLN,2026-09-02,user29@example.com,+4810010029,Warszawa,Polska,UoP,6,189,Aktywny,5,"Projekt 29","Rozliczenie miesiąca dla użytkownika 29"
30,"Imię 30","Nazwisko 30",Sprzedaż,Specjalista,4000,300,PLN,2026-09-03,user30@example.com,+4810010030,Warszawa,Polska,UoP,7,190,Aktywny,1,"Projekt 30","Rozliczenie miesiąca dla użytkownika 30"
31,"Imię 31","Nazwisko 31",Logistyka,Pracownik,4100,450,PLN,2026-09-04,user31@example.com,+4810010031,Warszawa,Polska,UoP,8,191,Aktywny,2,"Projekt 31","Rozliczenie miesiąca dla użytkownika 31"
32,"Imię 32","Nazwisko 32",Sprzedaż,Pracownik,4200,600,PLN,2026-09-05,user32@example.com,+4810010032,Warszawa,Polska,UoP,9,192,Aktywny,3,"Projekt 32","Rozliczenie miesiąca dla użytkownika 32"
33,"Imię 33","Nazwisko 33",Logistyka,Specjalista,4300,750,PLN,2026-09-06,user33@example.com,+4810010033,Warszawa,Polska,UoP,10,193,Aktywny,4,"Projekt 33","Rozliczenie miesiąca dla użytkownika 33"
34,"Imię 34","Nazwisko 34",Sprzedaż,Pracownik,4400,900,PLN,2026-09-07,user34@example.com,+4810010034,Warszawa,Polska,UoP,11,194,Aktywny,5,"Projekt 34","Rozliczenie miesiąca dla użytkownika 34"
35,"Imię 35","Nazwisko 35",Logistyka,Pracownik,4500,0,PLN,2026-09-08,user35@example.com,+4810010035,Warszawa,Polska,UoP,12,195,Aktywny,1,"Projekt 35","Rozliczenie miesiąca dla użytkownika 35"
36,"Imię 36","Nazwisko 36",Sprzedaż,Specjalista,4600,150,PLN,2026-09-09,user36@example.com,+4810010036,Warszawa,Polska,UoP,1,196,Aktywny,2,"Projekt 36","Rozliczenie miesiąca dla użytkownika 36"
37,"Imię 37","Nazwisko 37",Logistyka,Pracownik,4700,300,PLN,2026-09-10,user37@example.com,+4810010037,Warszawa,Polska,UoP,2,197,Aktywny,3,"Projekt 37","Rozliczenie miesiąca dla użytkownika 37"
38,"Imię 38","Nazwisko 38",Sprzedaż,Pracownik,4800,450,PLN,2026-09-11,user38@example.com,+4810010038,Warszawa,Polska,UoP,3,198,Aktywny,4,"Projekt 38","Rozliczenie miesiąca dla użytkownika 38"
39,"Imię 39","Nazwisko 39",Logistyka,Specjalista,4900,600,PLN,2026-09-12,user39@example.com,+4810010039,Warszawa,Polska,UoP,4,199,Aktywny,5,"Projekt 39","Rozliczenie miesiąca dla użytkownika 39"
40,"Imię 40","Nazwisko 40",Sprzedaż,Pracownik,5000,750,PLN,2026-09-13,user40@example.com,+4810010040,Warszawa,Polska,UoP,5,160,Aktywny,1,"Projekt 40","Rozliczenie miesiąca dla użytkownika 40"
41,"Imię 41","Nazwisko 41",Logistyka,Pracownik,5100,900,PLN,2026-09-14,user41@example.com,+4810010041,Warszawa,Polska,UoP,6,161,Aktywny,2,"Projekt 41","Rozliczenie miesiąca dla użytkownika 41"
42,"Imię 42","Nazwisko 42",Sprzedaż,Specjalista,5200,0,PLN,2026-09-15,user42@example.com,+4810010042,Warszawa,Polska,UoP,7,162,Aktywny,3,"Projekt 42","Rozliczenie miesiąca dla użytkownika 42"
43,"Imię 43","Nazwisko 43",Logistyka,Pracownik,5300,150,PLN,2026-09-16,user43@example.com,+4810010043,Warszawa,Polska,UoP,8,163,Aktywny,4,"Projekt 43","Rozliczenie miesiąca dla użytkownika 43"
44,"Imię 44","Nazwisko 44",Sprzedaż,Pracownik,5400,300,PLN,2026-09-17,user44@example.com,+4810010044,Warszawa,Polska,UoP,9,164,Aktywny,5,"Projekt 44","Rozliczenie miesiąca dla użytkownika 44"
45,"Imię 45","Nazwisko 45",Logistyka,Specjalista,5500,450,PLN,2026-09-18,user45@example.com,+4810010045,Warszawa,Polska,UoP,10,165,Aktywny,1,"Projekt 45","Rozliczenie miesiąca dla użytkownika 45"
46,"Imię 46","Nazwisko 46",Sprzedaż,Pracownik,5600,600,PLN,2026-09-19,user46@example.com,+4810010046,Warszawa,Polska,UoP,11,166,Aktywny,2,"Projekt 46","Rozliczenie miesiąca dla użytkownika 46"
47,"Imię 47","Nazwisko 47",Logistyka,Pracownik,5700,750,PLN,2026-09-20,user47@example.com,+4810010047,Warszawa,Polska,UoP,12,167,Aktywny,3,"Projekt 47","Rozliczenie miesiąca dla użytkownika 47"
48,"Imię 48","Nazwisko 48",Sprzedaż,Specjalista,5800,900,PLN,2026-09-21,user48@example.com,+4810010048,Warszawa,Polska,UoP,1,168,Aktywny,4,"Projekt 48","Rozliczenie miesiąca dla użytkownika 48"
49,"Imię 49","Nazwisko 49",Logistyka,Pracownik,5900,0,PLN,2026-09-22,user49@example.com,+4810010049,Warszawa,Polska,UoP,2,169,Aktywny,5,"Projekt 49","Rozliczenie miesiąca dla użytkownika 49"
50,"Imię 50","Nazwisko 50",Sprzedaż,Pracownik,3500,150,PLN,2026-09-23,user50@example.com,+4810010050,Warszawa,Polska,UoP,3,170,Aktywny,1,"Projekt 50","Rozliczenie miesiąca dla użytkownika 50"
51,"Imię 51","Nazwisko 51",Logistyka,Specjalista,3600,300,PLN,2026-09-24,user51@example.com,+4810010051,Warszawa,Polska,UoP,4,171,Aktywny,2,"Projekt 51","Rozliczenie miesiąca dla użytkownika 51"
52,"Imię 52","Nazwisko 52",Sprzedaż,Pracownik,3700,450,PLN,2026-09-25,user52@example.com,+4810010052,Warszawa,Polska,UoP,5,172,Aktywny,3,"Projekt 52","Rozliczenie miesiąca dla użytkownika 52"
53,"Imię 53","Nazwisko 53",Logistyka,Pracownik,3800,600,PLN,2026-09-26,user53@example.com,+4810010053,Warszawa,Polska,UoP,6,173,Aktywny,4,"Projekt 53","Rozliczenie miesiąca dla użytkownika 53"
54,"Imię 54","Nazwisko 54",Sprzedaż,Specjalista,3900,750,PLN,2026-09-27,user54@example.com,+4810010054,Warszawa,Polska,UoP,7,174,Aktywny,5,"Projekt 54","Rozliczenie miesiąca dla użytkownika 54"
55,"Imię 55","Nazwisko 55",Logistyka,Pracownik,4000,900,PLN,2026-09-28,user55@example.com,+4810010055,Warszawa,Polska,UoP,8,175,Aktywny,1,"Projekt 55","Rozliczenie miesiąca dla użytkownika 55"
56,"Imię 56","Nazwisko 56",Sprzedaż,Pracownik,4100,0,PLN,2026-09-01,user56@example.com,+4810010056,Warszawa,Polska,UoP,9,176,Aktywny,2,"Projekt 56","Rozliczenie miesiąca dla użytkownika 56"
57,"Imię 57","Nazwisko 57",Logistyka,Specjalista,4200,150,PLN,2026-09-02,user57@example.com,+4810010057,Warszawa,Polska,UoP,10,177,Aktywny,3,"Projekt 57","Rozliczenie miesiąca dla użytkownika 57"
58,"Imię 58","Nazwisko 58",Sprzedaż,Pracownik,4300,300,PLN,2026-09-03,user58@example.com,+4810010058,Warszawa,Polska,UoP,11,178,Aktywny,4,"Projekt 58","Rozliczenie miesiąca dla użytkownika 58"
59,"Imię 59","Nazwisko 59",Logistyka,Pracownik,4400,450,PLN,2026-09-04,user59@example.com,+4810010059,Warszawa,Polska,UoP,12,179,Aktywny,5,"Projekt 59","Rozliczenie miesiąca dla użytkownika 59"
60,"Imię 60","Nazwisko 60",Sprzedaż,Specjalista,4500,600,PLN,2026-09-05,user60@example.com,+4810010060,Warszawa,Polska,UoP,1,180,Aktywny,1,"Projekt 60","Rozliczenie miesiąca dla użytkownika 60"
61,"Imię 61","Nazwisko 61",Logistyka,Pracownik,4600,750,PLN,2026-09-06,user61@example.com,+4810010061,Warszawa,Polska,UoP,2,181,Aktywny,2,"Projekt 61","Rozliczenie miesiąca dla użytkownika 61"
62,"Imię 62","Nazwisko 62",Sprzedaż,Pracownik,4700,900,PLN,2026-09-07,user62@example.com,+4810010062,Warszawa,Polska,UoP,3,182,Aktywny,3,"Projekt 62","Rozliczenie miesiąca dla użytkownika 62"
63,"Imię 63","Nazwisko 63",Logistyka,Specjalista,4800,0,PLN,2026-09-08,user63@example.com,+4810010063,Warszawa,Polska,UoP,4,183,Aktywny,4,"Projekt 63","Rozliczenie miesiąca dla użytkownika 63"
64,"Imię 64","Nazwisko 64",Sprzedaż,Pracownik,4900,150,PLN,2026-09-09,user64@example.com,+4810010064,Warszawa,Polska,UoP,5,184,Aktywny,5,"Projekt 64","Rozliczenie miesiąca dla użytkownika 64"
65,"Imię 65","Nazwisko 65",Logistyka,Pracownik,5000,300,PLN,2026-09-10,user65@example.com,+4810010065,Warszawa,Polska,UoP,6,185,Aktywny,1,"Projekt 65","Rozliczenie miesiąca dla użytkownika 65"
66,"Imię 66","Nazwisko 66",Sprzedaż,Specjalista,5100,450,PLN,2026-09-11,user66@example.com,+4810010066,Warszawa,Polska,UoP,7,186,Aktywny,2,"Projekt 66","Rozliczenie miesiąca dla użytkownika 66"
67,"Imię 67","Nazwisko 67",Logistyka,Pracownik,5200,600,PLN,2026-09-12,user67@example.com,+4810010067,Warszawa,Polska,UoP,8,187,Aktywny,3,"Projekt 67","Rozliczenie miesiąca dla użytkownika 67"
68,"Imię 68","Nazwisko 68",Sprzedaż,Pracownik,5300,750,PLN,2026-09-13,user68@example.com,+4810010068,Warszawa,Polska,UoP,9,188,Aktywny,4,"Projekt 68","Rozliczenie miesiąca dla użytkownika 68"
69,"Imię 69","Nazwisko 69",Logistyka,Specjalista,5400,900,PLN,2026-09-14,user69@example.com,+4810010069,Warszawa,Polska,UoP,10,189,Aktywny,5,"Projekt 69","Rozliczenie miesiąca dla użytkownika 69"
70,"Imię 70","Nazwisko 70",Sprzedaż,Pracownik,5500,0,PLN,2026-09-15,user70@example.com,+4810010070,Warszawa,Polska,UoP,11,190,Aktywny,1,"Projekt 70","Rozliczenie miesiąca dla użytkownika 70"
71,"Imię 71","Nazwisko 71",Logistyka,Pracownik,5600,150,PLN,2026-09-16,user71@example.com,+4810010071,Warszawa,Polska,UoP,12,191,Aktywny,2,"Projekt 71","Rozliczenie miesiąca dla użytkownika 71"
72,"Imię 72","Nazwisko 72",Sprzedaż,Specjalista,5700,300,PLN,2026-09-17,user72@example.com,+4810010072,Warszawa,Polska,UoP,1,192,Aktywny,3,"Projekt 72","Rozliczenie miesiąca dla użytkownika 72"
73,"Imię 73","Nazwisko 73",Logistyka,Pracownik,5800,450,PLN,2026-09-18,user73@example.com,+4810010073,Warszawa,Polska,UoP,2,193,Aktywny,4,"Projekt 73","Rozliczenie miesiąca dla użytkownika 73"
74,"Imię 74","Nazwisko 74",Sprzedaż,Pracownik,5900,600,PLN,2026-09-19,user74@example.com,+4810010074,Warszawa,Polska,UoP,3,194,Aktywny,5,"Projekt 74","Rozliczenie miesiąca dla użytkownika 74"
75,"Imię 75","Nazwisko 75",Logistyka,Specjalista,3500,750,PLN,2026-09-20,user75@example.com,+4810010075,Warszawa,Polska,UoP,4,195,Aktywny,1,"Projekt 75","Rozliczenie miesiąca dla użytkownika 75"
76,"Imię 76","Nazwisko 76",Sprzedaż,Pracownik,3600,900,PLN,2026-09-21,user76@example.com,+4810010076,Warszawa,Polska,UoP,5,196,Aktywny,2,"Projekt 76","Rozliczenie miesiąca dla użytkownika 76"
77,"Imię 77","Nazwisko 77",Logistyka,Pracownik,3700,0,PLN,2026-09-22,user77@example.com,+4810010077,Warszawa,Polska,UoP,6,197,Aktywny,3,"Projekt 77","Rozliczenie miesiąca dla użytkownika 77"
78,"Imię 78","Nazwisko 78",Sprzedaż,Specjalista,3800,150,PLN,2026-09-23,user78@example.com,+4810010078,Warszawa,Polska,UoP,7,198,Aktywny,4,"Projekt 78","Rozliczenie miesiąca dla użytkownika 78"
79,"Imię 79","Nazwisko 79",Logistyka,Pracownik,3900,300,PLN,2026-09-24,user79@example.com,+4810010079,Warszawa,Polska,UoP,8,199,Aktywny,5,"Projekt 79","Rozliczenie miesiąca dla użytkownika 79"
80,"Imię 80","Nazwisko 80",Sprzedaż,Pracownik,4000,450,PLN,2026-09-25,user80@example.com,+4810010080,Warszawa,Polska,UoP,9,160,Aktywny,1,"Projekt 80","Rozliczenie miesiąca dla użytkownika 80"
81,"Imię 81","Nazwisko 81",Logistyka,Specjalista,4100,600,PLN,2026-09-26,user81@example.com,+4810010081,Warszawa,Polska,UoP,10,161,Aktywny,2,"Projekt 81","Rozliczenie miesiąca dla użytkownika 81"
82,"Imię 82","Nazwisko 82",Sprzedaż,Pracownik,4200,750,PLN,2026-09-27,user82@example.com,+4810010082,Warszawa,Polska,UoP,11,162,Aktywny,3,"Projekt 82","Rozliczenie miesiąca dla użytkownika 82"
83,"Imię 83","Nazwisko 83",Logistyka,Pracownik,4300,900,PLN,2026-09-28,user83@example.com,+4810010083,Warszawa,Polska,UoP,12,163,Aktywny,4,"Projekt 83","Rozliczenie miesiąca dla użytkownika 83"
84,"Imię 84","Nazwisko 84",Sprzedaż,Specjalista,4400,0,PLN,2026-09-01,user84@example.com,+4810010084,Warszawa,Polska,UoP,1,164,Aktywny,5,"Projekt 84","Rozliczenie miesiąca dla użytkownika 84"
85,"Imię 85","Nazwisko 85",Logistyka,Pracownik,4500,150,PLN,2026-09-02,user85@example.com,+4810010085,Warszawa,Polska,UoP,2,165,Aktywny,1,"Projekt 85","Rozliczenie miesiąca dla użytkownika 85"
86,"Imię 86","Nazwisko 86",Sprzedaż,Pracownik,4600,300,PLN,2026-09-03,user86@example.com,+4810010086,Warszawa,Polska,UoP,3,166,Aktywny,2,"Projekt 86","Rozliczenie miesiąca dla użytkownika 86"
87,"Imię 87","Nazwisko 87",Logistyka,Specjalista,4700,450,PLN,2026-09-04,user87@example.com,+4810010087,Warszawa,Polska,UoP,4,167,Aktywny,3,"Projekt 87","Rozliczenie miesiąca dla użytkownika 87"
88,"Imię 88","Nazwisko 88",Sprzedaż,Pracownik,4800,600,PLN,2026-09-05,user88@example.com,+4810010088,Warszawa,Polska,UoP,5,168,Aktywny,4,"Projekt 88","Rozliczenie miesiąca dla użytkownika 88"
89,"Imię 89","Nazwisko 89",Logistyka,Pracownik,4900,750,PLN,2026-09-06,user89@example.com,+4810010089,Warszawa,Polska,UoP,6,169,Aktywny,5,"Projekt 89","Rozliczenie miesiąca dla użytkownika 89"
90,"Imię 90","Nazwisko 90",Sprzedaż,Specjalista,5000,900,PLN,2026-09-07,user90@example.com,+4810010090,Warszawa,Polska,UoP,7,170,Aktywny,1,"Projekt 90","Rozliczenie miesiąca dla użytkownika 90"
91,"Imię 91","Nazwisko 91",Logistyka,Pracownik,5100,0,PLN,2026-09-08,user91@example.com,+4810010091,Warszawa,Polska,UoP,8,171,Aktywny,2,"Projekt 91","Rozliczenie miesiąca dla użytkownika 91"
92,"Imię 92","Nazwisko 92",Sprzedaż,Pracownik,5200,150,PLN,2026-09-09,user92@example.com,+4810010092,Warszawa,Polska,UoP,9,172,Aktywny,3,"Projekt 92","Rozliczenie miesiąca dla użytkownika 92"
93,"Imię 93","Nazwisko 93",Logistyka,Specjalista,5300,300,PLN,2026-09-10,user93@example.com,+4810010093,Warszawa,Polska,UoP,10,173,Aktywny,4,"Projekt 93","Rozliczenie miesiąca dla użytkownika 93"
94,"Imię 94","Nazwisko 94",Sprzedaż,Pracownik,5400,450,PLN,2026-09-11,user94@example.com,+4810010094,Warszawa,Polska,UoP,11,174,Aktywny,5,"Projekt 94","Rozliczenie miesiąca dla użytkownika 94"
95,"Imię 95","Nazwisko 95",Logistyka,Pracownik,5500,600,PLN,2026-09-12,user95@example.com,+4810010095,Warszawa,Polska,UoP,12,175,Aktywny,1,"Projekt 95","Rozliczenie miesiąca dla użytkownika 95"
96,"Imię 96","Nazwisko 96",Sprzedaż,Specjalista,5600,750,PLN,2026-09-13,user96@example.com,+4810010096,Warszawa,Polska,UoP,1,176,Aktywny,2,"Projekt 96","Rozliczenie miesiąca dla użytkownika 96"
97,"Imię 97","Nazwisko 97",Logistyka,Pracownik,5700,900,PLN,2026-09-14,user97@example.com,+4810010097,Warszawa,Polska,UoP,2,177,Aktywny,3,"Projekt 97","Rozliczenie miesiąca dla użytkownika 97"
98,"Imię 98","Nazwisko 98",Sprzedaż,Pracownik,5800,0,PLN,2026-09-15,user98@example.com,+4810010098,Warszawa,Polska,UoP,3,178,Aktywny,4,"Projekt 98","Rozliczenie miesiąca dla użytkownika 98"
99,"Imię 99","Nazwisko 99",Logistyka,Specjalista,5900,150,PLN,2026-09-16,user99@example.com,+4810010099,Warszawa,Polska,UoP,4,179,Aktywny,5,"Projekt 99","Rozliczenie miesiąca dla użytkownika 99"
100,"Imię 100","Nazwisko 100",Sprzedaż,Pracownik,3500,300,PLN,2026-09-17,user100@example.com,+48100100100,Warszawa,Polska,UoP,5,180,Aktywny,1,"Projekt 100","Rozliczenie miesiąca dla użytkownika 100"
101,"Imię 101","Nazwisko 101",Logistyka,Pracownik,3600,450,PLN,2026-09-18,user101@example.com,+48100100101,Warszawa,Polska,UoP,6,181,Aktywny,2,"Projekt 101","Rozliczenie miesiąca dla użytkownika 101"
102,"Imię 102","Nazwisko 102",Sprzedaż,Specjalista,3700,600,PLN,2026-09-19,user102@example.com,+48100100102,Warszawa,Polska,UoP,7,182,Aktywny,3,"Projekt 102","Rozliczenie miesiąca dla użytkownika 102"
103,"Imię 103","Nazwisko 103",Logistyka,Pracownik,3800,750,PLN,2026-09-20,user103@example.com,+48100100103,Warszawa,Polska,UoP,8,183,Aktywny,4,"Projekt 103","Rozliczenie miesiąca dla użytkownika 103"
104,"Imię 104","Nazwisko 104",Sprzedaż,Pracownik,3900,900,PLN,2026-09-21,user104@example.com,+48100100104,Warszawa,Polska,UoP,9,184,Aktywny,5,"Projekt 104","Rozliczenie miesiąca dla użytkownika 104"
105,"Imię 105","Nazwisko 105",Logistyka,Specjalista,4000,0,PLN,2026-09-22,user105@example.com,+48100100105,Warszawa,Polska,UoP,10,185,Aktywny,1,"Projekt 105","Rozliczenie miesiąca dla użytkownika 105"
106,"Imię 106","Nazwisko 106",Sprzedaż,Pracownik,4100,150,PLN,2026-09-23,user106@example.com,+48100100106,Warszawa,Polska,UoP,11,186,Aktywny,2,"Projekt 106","Rozliczenie miesiąca dla użytkownika 106"
107,"Imię 107","Nazwisko 107",Logistyka,Pracownik,4200,300,PLN,2026-09-24,user107@example.com,+48100100107,Warszawa,Polska,UoP,12,187,Aktywny,3,"Projekt 107","Rozliczenie miesiąca dla użytkownika 107"
